round_name,points_list,category_title,question_index,prompt,answer,daily_double
Test Round,100|200|300|400|500,Math 101,0,This is one plus one,What is 2,
Test Round,100|200|300|400|500,Math 101,1,The expression 2 + 2 will yield this number,What is 4,
Test Round,100|200|300|400|500,Math 101,2,Adding three and three will give you this,What is 6,
Test Round,100|200|300|400|500,Math 101,3,This number is 4 + 4,What is 8,
Test Round,100|200|300|400|500,Math 101,4,5 + 5 equals to this,What is 10,
Test Round,100|200|300|400|500,Who's who,0,"This person can speak Chinese, Korean, and Japanese fluently",Kan,
Test Round,100|200|300|400|500,Who's who,1,She played cello in an orchestra and loves urban sketching,Seonghyeon,
Test Round,100|200|300|400|500,Who's who,2,His brother was born in Iran; he himself lived there for 4 years,Akio,
Test Round,100|200|300|400|500,Who's who,3,This person published a book in multiple languages,Drew,
Test Round,100|200|300|400|500,Who's who,4,She has a domestic cat who likes to join work calls,Selina,
Test Round,100|200|300|400|500,Empty,0,,,
Test Round,100|200|300|400|500,Empty,1,,,
Test Round,100|200|300|400|500,Empty,2,,,
Test Round,100|200|300|400|500,Empty,3,,,
Test Round,100|200|300|400|500,Empty,4,,,
Test Round,100|200|300|400|500,Empty,0,,,
Test Round,100|200|300|400|500,Empty,1,,,
Test Round,100|200|300|400|500,Empty,2,,,
Test Round,100|200|300|400|500,Empty,3,,,
Test Round,100|200|300|400|500,Empty,4,,,
Test Round,100|200|300|400|500,Empty,0,,,
Test Round,100|200|300|400|500,Empty,1,,,
Test Round,100|200|300|400|500,Empty,2,,,
Test Round,100|200|300|400|500,Empty,3,,,
Test Round,100|200|300|400|500,Empty,4,,,
Test Round,100|200|300|400|500,Empty,0,,,
Test Round,100|200|300|400|500,Empty,1,,,
Test Round,100|200|300|400|500,Empty,2,,,
Test Round,100|200|300|400|500,Empty,3,,,
Test Round,100|200|300|400|500,Empty,4,,,


Round One,100|200|300|400|500,World on a Plate,0,This spicy fermented cabbage is a staple Korean side dish,What is kimchi,
Round One,100|200|300|400|500,World on a Plate,1,"Gyoza, mandu, pierogi, and empanadas all share this common name",What are dumplings,
Round One,100|200|300|400|500,World on a Plate,2,This Mexican street food is served on small corn tortillas,What is a taco,
Round One,100|200|300|400|500,World on a Plate,3,This Southeast Asian tradition involves tossing a raw fish salad for luck,What is Lo Hei (Yusheng),
Round One,100|200|300|400|500,World on a Plate,4,"Called the queen of fruits, this purple-rinded Southeast Asian fruit is beloved",What is mangosteen,
Round One,100|200|300|400|500,Places in Movies,0,(1953) _______ Holiday,What is Roman,
Round One,100|200|300|400|500,Places in Movies,1,(2016) Train to _______,What is Busan,
Round One,100|200|300|400|500,Places in Movies,2,(2011) Midnight in _______,What is Paris,
Round One,100|200|300|400|500,Places in Movies,3,"(2006) The Fast and the Furious: _______ Drift",What is Tokyo,
Round One,100|200|300|400|500,Places in Movies,4,"(2002) Gangs of _______.",What is New York,
Round One,200|400|600|800|1000,Technology Abbreviations,0,WYSIWYG (UI),What You See Is What You Get,
Round One,200|400|600|800|1000,Technology Abbreviations,1,GPT (AI),Generative Pre-trained Transformer,
Round One,200|400|600|800|1000,Technology Abbreviations,2,CNN (Machine Learning),Convolutional Neural Network,
Round One,200|400|600|800|1000,Technology Abbreviations,3,OLAP (Data),Online Analytical Processing,
Round One,200|400|600|800|1000,Technology Abbreviations,4,PHP (Web Language),PHP: Hypertext Preprocessor (People Helping People),
Round One,100|200|300|400|500,Festival Fun!,0,This South Asian festival of lights features oil lamps and fireworks,What is Diwali,
Round One,100|200|300|400|500,Festival Fun!,1,"This January/February holiday features red envelopes, lion dances, and family reunions",What is Lunar New Year,
Round One,100|200|300|400|500,Festival Fun!,2,This colorful Indian spring festival involves throwing colored powders and water,What is Holi,
Round One,100|200|300|400|500,Festival Fun!,3,This Thai Festival in April features massive citywide water fights,What is Songkran,
Round One,100|200|300|400|500,Festival Fun!,4,This Japanese summer festival honors ancestors with lanterns and Bon Odori dancing,What is Obon,
Round One,100|200|300|400|500,Healthy Foods,0,This popular protein-rich food is made from coagulated soy milk,What is tofu,
Round One,100|200|300|400|500,Healthy Foods,1,Popeye's favorite food,What is Spinach,
Round One,100|200|300|400|500,Healthy Foods,2,This is the most widely consumed fruit in the world,What is a mango,
Round One,100|200|300|400|500,Healthy Foods,3,This vetetable was the first to be grown in space,What is a potato,
Round One,100|200|300|400|500,Healthy Foods,4,"Apples, pears, peaches, and plums are all members of this plant family.",What is a rose,
Round One,100|200|300|400|500,Trivial Arithmetics,0,Years in a century - the number of sides in a triangle,100 - 3,
Round One,100|200|300|400|500,Trivial Arithmetics,1,Year(4 digits) Microsoft was founded - Olympic swimming pool length in meters,1975 - 50,
Round One,100|200|300|400|500,Trivial Arithmetics,2,Electrons in a hydrogen atom + total seasons of Game of Thrones (TV show),1 + 8,
Round One,100|200|300|400|500,Trivial Arithmetics,3,Spider legs + chambers in a human heart,8 + 4,
Round One,100|200|300|400|500,Trivial Arithmetics,4,UN member states + the number of timezones in China,193 + 1,
